market_date,timestamp_et,raw_average,three_day_average,universe_size,valid_count,coverage_pct,median_dte,risk_free_rate,error_count
2026-09-18,2026-09-18T16:43:43.232985-04:00,0.0030687363327113713,0.0030687363327113713,101,84,83.16831683168317,28.0,0.039779999256134034,17
2026-09-21,2026-09-21T16:45:08.501597-04:00,-0.028666265164922367,-0.012798764416105498,101,89,88.11881188118812,32,0.0398199987411499,12
2026-09-22,2026-09-22T16:37:04.149546-04:00,-0.005343902859799533,-0.01031381056400351,101,97,96.03960396039604,31,0.04005000114440918,4
2026-09-23,2026-09-23T14:17:35.136643-04:00,-0.019127194543681645,-0.01771245418946785,101,96,95.04950495049505,30.0,0.040279998779296874,5
