market_date,generated_at_utc,state,candidate_action,oversold_family_count,turn_family_count,selling_pressure_count,nyse_down_up_ratio,nasdaq_down_up_ratio,MMFD,MMTW,SPXA20R,SPXA50R,SPXA200R,BPSPX,NYMO,NAMO,NYUD,NAUD,NYUPV,NYDNV,NAUPV,NADNV
2026-09-09,2026-09-10T12:40:44.848659+00:00,OVERSOLD,WAIT_FOR_WASHOUT,2,0,4,3.2236777452267553,1.8175311546382458,25.75,29.1,23.2,38.2,59.6,45.2,-47.79,-35.52,-2560.5458,-2131.8773,1151.4914,3712.0372,2607.7016,4739.5789
2026-09-10,2026-09-10T22:32:18.578477+00:00,WASHOUT,GO_EARLY,2,1,4,1.730812295771159,1.5575798288907985,18.05,24.69,18.0,33.8,57.6,42.4,-63.58,-50.49,-1100.1117,-1407.2154,1505.3273,2605.439,2523.7918,3931.0072
